Gregorian Month,Bangla Month Name,Date,Day Name,Bangla Date,Hijri Date,Bangla Month Full,Hijri Month Full
March,মার্চ,2,সোম,১৭,13,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,3,মঙ্গল,১৮,14,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,4,বুধ,১৯,15,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,5,বৃহঃ,২০,16,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,6,শুক্র,২১,17,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,7,শনি,২২,18,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,8,রবি,২৩,19,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,9,সোম,২৪,20,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,10,মঙ্গল,২৫,21,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,11,বুধ,২৬,22,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,12,বৃহঃ,২৭,23,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,13,শুক্র,২৮,24,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,14,শনি,২৯,25,ফাল্গুন ১৪৩২,রমজান ১৪৪৭
March,মার্চ,15,রবি,১,26,চৈত্র ১৪৩২,রমজান ১৪৪৭
March,মার্চ,16,সোম,২,27,চৈত্র ১৪৩২,রমজান ১৪৪৭
March,মার্চ,17,মঙ্গল,৩,28,চৈত্র ১৪৩২,রমজান ১৪৪৭
March,মার্চ,18,বুধ,৪,29,চৈত্র ১৪৩২,রমজান ১৪৪৭
March,মার্চ,19,বৃহঃ,৫,30,চৈত্র ১৪৩২,রমজান ১৪৪৭
March,মার্চ,20,শুক্র,৬,1,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,21,শনি,৭,2,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,22,রবি,৮,3,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,23,সোম,৯,4,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,24,মঙ্গল,১০,5,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,25,বুধ,১১,6,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,26,বৃহঃ,১২,7,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,27,শুক্র,১৩,8,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,28,শনি,১৪,9,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,29,রবি,১৫,10,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,30,সোম,১৬,11,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
March,মার্চ,31,মঙ্গল,১৭,12,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,1,বুধ,১৮,13,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,2,বৃহঃ,১৯,14,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,3,শুক্র,২০,15,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,4,শনি,২১,16,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,5,রবি,২২,17,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,6,সোম,২৩,18,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,7,মঙ্গল,২৪,19,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,8,বুধ,২৫,20,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,9,বৃহঃ,২৬,21,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,10,শুক্র,২৭,22,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,11,শনি,২৮,23,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,12,রবি,২৯,24,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,13,সোম,৩০,25,চৈত্র ১৪৩২,শাওয়াল ১৪৪৭
April,এপ্রিল,14,মঙ্গল,১,26,বৈশাখ ১৪৩৩,শাওয়াল ১৪৪৭
April,এপ্রিল,15,বুধ,২,27,বৈশাখ ১৪৩৩,শাওয়াল ১৪৪৭
April,এপ্রিল,16,বৃহঃ,৩,28,বৈশাখ ১৪৩৩,শাওয়াল ১৪৪৭
April,এপ্রিল,17,শুক্র,৪,29,বৈশাখ ১৪৩৩,শাওয়াল ১৪৪৭
April,এপ্রিল,18,শনি,৫,1,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,19,রবি,৬,2,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,20,সোম,৭,3,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,21,মঙ্গল,৮,4,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,22,বুধ,৯,5,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,23,বৃহঃ,১০,6,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,24,শুক্র,১১,7,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,25,শনি,১২,8,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,26,রবি,১৩,9,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,27,সোম,১৪,10,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,28,মঙ্গল,১৫,11,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,29,বুধ,১৬,12,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
April,এপ্রিল,30,বৃহঃ,১৭,13,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,1,শুক্র,১৮,14,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,2,শনি,১৯,15,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,3,রবি,২০,16,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,4,সোম,২১,17,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,5,মঙ্গল,২২,18,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
